frame,face_id,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
40,0,1.301,0.98,1,-0.070,0.192,-0.001,0.150,0.017,1.22,0.44,2.59,0.34,0.00,0.47,0.00,0.07,0.00,0.96,0.70,1.15,0.64,0.99,0.00,0.03,0.67,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
41,0,1.334,0.98,1,-0.077,0.180,-0.008,0.166,0.006,1.22,0.47,2.58,0.45,0.00,0.43,0.00,0.07,0.00,0.97,0.67,1.20,0.67,1.02,0.00,0.07,0.63,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
42,0,1.367,0.98,1,-0.081,0.176,-0.014,0.172,0.001,1.16,0.48,2.57,0.53,0.00,0.32,0.00,0.00,0.00,1.01,0.58,1.20,0.64,1.03,0.00,0.10,0.68,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
43,0,1.401,0.98,1,-0.077,0.177,-0.018,0.174,0.000,1.18,0.51,2.62,0.51,0.00,0.18,0.00,0.00,0.00,1.07,0.58,1.21,0.60,1.00,0.00,0.14,0.71,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
44,0,1.434,0.98,1,-0.081,0.173,-0.022,0.176,-0.001,1.15,0.56,2.47,0.51,0.00,0.14,0.00,0.03,0.00,1.01,0.60,1.26,0.57,0.97,0.00,0.15,0.64,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
45,0,1.467,0.98,1,-0.076,0.181,-0.014,0.151,0.018,1.12,0.54,2.47,0.56,0.00,0.31,0.00,0.03,0.00,1.03,0.65,1.30,0.50,0.97,0.00,0.19,0.63,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
46,0,1.501,0.98,1,-0.078,0.179,-0.013,0.165,0.008,1.09,0.56,2.47,0.56,0.00,0.27,0.00,0.03,0.00,1.00,0.61,1.29,0.55,1.01,0.00,0.26,0.62,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
47,0,1.534,0.98,1,-0.080,0.181,-0.017,0.174,0.001,1.12,0.56,2.56,0.56,0.00,0.25,0.00,0.00,0.00,1.06,0.55,1.21,0.52,1.05,0.00,0.33,0.66,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
48,0,1.567,0.98,1,-0.080,0.176,-0.017,0.174,-0.001,1.13,0.57,2.55,0.45,0.00,0.25,0.00,0.00,0.00,1.00,0.50,1.09,0.51,1.06,0.00,0.31,0.64,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
49,0,1.601,0.98,1,-0.080,0.173,-0.025,0.178,-0.002,1.10,0.54,2.50,0.44,0.00,0.30,0.00,0.00,0.00,0.97,0.49,1.09,0.44,1.00,0.00,0.20,0.54,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
50,0,1.634,0.98,1,-0.075,0.181,-0.014,0.153,0.016,1.06,0.53,2.47,0.49,0.00,0.44,0.00,0.00,0.00,0.95,0.56,1.16,0.48,1.04,0.00,0.15,0.54,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
51,0,1.667,0.98,1,-0.075,0.181,-0.014,0.166,0.006,1.10,0.57,2.49,0.52,0.00,0.25,0.00,0.00,0.00,0.90,0.57,1.17,0.51,1.09,0.00,0.16,0.55,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
52,0,1.701,0.98,1,-0.077,0.181,-0.013,0.174,0.001,1.14,0.58,2.56,0.52,0.00,0.18,0.00,0.00,0.00,0.93,0.58,1.18,0.49,1.14,0.00,0.30,0.63,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
53,0,1.734,0.98,1,-0.080,0.178,-0.017,0.178,-0.003,1.12,0.53,2.59,0.52,0.00,0.10,0.00,0.00,0.00,0.94,0.56,1.15,0.46,1.06,0.00,0.27,0.57,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
54,0,1.767,0.98,1,-0.077,0.183,-0.010,0.154,0.015,1.06,0.51,2.61,0.67,0.00,0.32,0.00,0.00,0.00,0.99,0.64,1.18,0.49,0.95,0.00,0.23,0.55,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
